file_index,filename,总分,文件长度得分,代码重复率得分,关键词得分,有效代码得分,多样性得分,分数段,content

stereoParamsDG
if (verbose)
    Reconstruct.visualizePts3d(cell2mat(stereoParamsDG.worldPts'), stereoParamsDG.R, stereoParamsDG.T, 'Propsoed w/o BA calibration: Xm ');
end

disp(' ');
disp('[Moreno & Taubin] Performing camera-projector calibration using Moreno & Taubin method...');

prjCornersCellMT = squeeze(mat2cell(prjCornersMT, calibInfo.numCorners, 2, ones(1, calibInfo.numSets)))';
prjParamsMT = Calibration.calibrateInitGuess(modelCornersCell, prjCornersCellMT, calibInfo);

stereoParamsMT = Calibration.calibrateStereoInitGuess(modelCornersCell, camCornersCell, prjCornersCellMT, camParams, prjParamsMT, calibInfo);
stereoParamsMT.sets = calibInfo.sets;
stereoParamsMT.dataName = calibInfo.dataName;
    
stereoParamsMT = Calibration.calcReprojectionError(stereoParamsMT, modelCornersCell, camCornersCell, prjCornersCellMT);

stereoParamsMT

if (verbose)
    Reconstruct.visualizePts3d(cell2mat(stereoParamsMT.worldPts'), stereoParamsMT.R, stereoParamsMT.T, 'Moreno & Taubin calibration: Xm ');
end

disp(' ');
disp('[Global homography] Performing camera-projector calibration using generalized global homography method...');

prjCornersCellGH = squeeze(mat2cell(prjCornersGH, calibInfo.numCorners, 2, ones(1, calibInfo.numSets)))';
prjParamsGH = Calibration.calibrateInitGuess(modelCornersCell, prjCornersCellGH, calibInfo);

stereoParamsGH = Calibration.calibrateStereoInitGuess(modelCornersCell, camCornersCell, prjCornersCellGH, camParams, prjParamsGH, calibInfo);
stereoParamsGH.sets = calibInfo.sets;
stereoParamsGH.dataName = calibInfo.dataName;

stereoParamsGH = Calibration.calcReprojectionError(stereoParamsGH, modelCornersCell, camCornersCell, prjCornersCellGH);

stereoParamsGH
if (verbose)
    Reconstruct.visualizePts3d(cell2mat(stereoParamsGH.worldPts'), stereoParamsGH.R, stereoParamsGH.T, 'Global homography calibration: Xm ');
end

calTypes = {'moreno_taubin', 'global_homography', 'degraded_proposed', 'proposed'};

cv.FileStorage(fullfile(calibInfo.resultDir, [calTypes{1}, '.yml']), stereoParamsMT);
cv.FileStorage(fullfile(calibInfo.resultDir, [calTypes{2}, '.yml']), stereoParamsGH);
cv.FileStorage(fullfile(calibInfo.resultDir, [calTypes{3}, '.yml']), stereoParamsDG);
cv.FileStorage(fullfile(calibInfo.resultDir, [calTypes{4}, '.yml']), stereoParamsPR);

disp(' ');
disp(['Calibration data saved to ', calibInfo.resultDir]);

algNames = {'Moreno & Taubin', 'Global homography',  'Proposed w/o BA', 'Proposed'};
reprojErrs = zeros(length(calTypes), 3);
for i=1:length(calTypes)
    curCalType = calTypes{i};
    param = cv.FileStorage(fullfile(calibInfo.resultDir, [curCalType, '.yml']));
    
    reprojErrs(i,1) = param.camReprojErr;
    reprojErrs(i,2) = param.prjReprojErr;
    reprojErrs(i,3) = param.stereoReprojErr;
end

calibTable = array2table(reprojErrs,...
    'VariableNames',{'camera','projector','stereo'},...
    'RowNames', algNames);

disp(' ');
disp('Calibration reprojection errors:'); 
disp(calibTable);

colorList = [
    0    0.4470    0.7410;
    0.9290    0.6940    0.1250
    0.4660    0.6740    0.1880;
    0.6350    0.0780    0.1840;
    ];

sz = 60;
figure;
sp1 = subplot(1,2,1); 
a = scatter(stereoParamsMT.camRes(:,1), stereoParamsMT.camRes(:,2), sz, 'LineWidth', .1, 'markerfacecolor', colorList(1,:), 'MarkerEdgeColor', 'black'); daspect([1,1,1]); hold on;
b = scatter(stereoParamsGH.camRes(:,1), stereoParamsGH.camRes(:,2), sz, 'LineWidth', .1, 'markerfacecolor', colorList(2,:), 'MarkerEdgeColor', 'black'); daspect([1,1,1]); hold on;
c = scatter(stereoParamsDG.camRes(:,1), stereoParamsDG.camRes(:,2), sz, 'LineWidth', .1, 'markerfacecolor', colorList(3,:), 'MarkerEdgeColor', 'black'); daspect([1,1,1]); hold on;
d = scatter(stereoParamsPR.camRes(:,1), stereoParamsPR.camRes(:,2), sz, 'LineWidth', .1, 'markerfacecolor', colorList(4,:), 'MarkerEdgeColor', 'black'); daspect([1,1,1]); hold on;
axis(sp1, [-2, 2,-1.5, 1.5]); box on;
uistack(a, 'top');
legend([a,b,c,d], {'Moreno & Taubin [29]', 'Global homography','Proposed w/o BA', 'Proposed'}, 'Location', 'northwest'); 
xlabel('\\fontsize{13}{0}\\bf\\selectfont x (pixel)', 'interpreter', 'latex');
ylabel('\\fontsize{13}{0}\\bf\\selectfont y (pixel)', 'interpreter', 'latex');
set(gca, 'FontSize', 16); 
title('\\fontsize{15}{0}\\bf\\selectfont Camera reprojection error', 'interpreter', 'latex');

sp2 = subplot(1,2,2); 
e = scatter(stereoParamsMT.prjRes(:,1), stereoParamsMT.prjRes(:,2), sz, 'LineWidth', .1, 'markerfacecolor', colorList(1,:), 'MarkerEdgeColor', 'black'); daspect([1,1,1]); hold on;
f = scatter(stereoParamsGH.prjRes(:,1), stereoParamsGH.prjRes(:,2), sz, 'LineWidth', .1, 'markerfacecolor', colorList(2,:), 'MarkerEdgeColor', 'black'); daspect([1,1,1]); hold on;
g = scatter(stereoParamsDG.prjRes(:,1), stereoParamsDG.prjRes(:,2), sz, 'LineWidth', .1, 'markerfacecolor', colorList(3,:), 'MarkerEdgeColor', 'black'); daspect([1,1,1]); hold on;
h = scatter(stereoParamsPR.prjRes(:,1), stereoParamsPR.prjRes(:,2), sz, 'LineWidth', .1, 'markerfacecolor', colorList(4,:), 'MarkerEdgeColor', 'black'); daspect([1,1,1]); hold on;
axis(sp2, [-14, 14, -10.5, 10.5]); box on;
uistack(e, 'top');
uistack(h, 'top');
xlabel('\\fontsize{13}{0}\\bf\\selectfont x (pixel)', 'interpreter', 'latex');
ylabel('\\fontsize{13}{0}\\bf\\selectfont y (pixel)', 'interpreter', 'latex');
set(gca, 'FontSize', 16); 
title('\\fontsize{15}{0}\\bf\\selectfont Projector reprojection error', 'interpreter', 'latex');
hold off;

reconSet = '21'; % no need to write as %02d format
linkedFigs = Calibration.compareRealData(reconSet, calTypes, algNames, calibInfo);"
1850,compareCbModels.m,74.35,70,66.28,100,100.0,35.47,70-80,"function [Cmodel, Tmodel, score, Stats] = compareCbModels(Cmodel, Tmodel, varargin)

verbose = false ; % Declare oft used variables and set up scoring system and arrays.
if ~isempty(varargin)
    if sum(strcmp('Verbose', varargin))
        verbose = true ;
    end
end

nCrxns = length(Cmodel.rxns);
compCrxns = 1:nCrxns ; % Comparison C reactions
nTrxns = length(Tmodel.rxns) ; % Number of T reactions

modelNames = fieldnames(Tmodel.Models) ;

ScoreVal = struct('rxnNameH', [10, 1],  'rxnNameM', [-5, 2], ...
                  'rxnNameLH', [10, 3], 'rxnNameLM', [-5, 4], ...
                  'ecH', [10, 5],       'ecM', [-5, 6], ...
                  'rxnKEGGH', [10, 7],  'rxnKEGGM', [-5, 8], ...
                  'subH', [5, 11],      'subM', [-1, 12], ...
                  'grH', [5, 13],       'grM', [-5, 14], ... % Gene. Not used.
                  'metNumH', [1, 15],   'metNumM', [-5, 16], ...
                  'metStoH', [1, 17],   'metStoM', [-5, 18], ...
                  'metNameH', [10, 19], 'metNameM', [-1, 20], ...
                  'metFormH', [10, 21], 'metFormM', [-1, 22], ...
                  'metKEGGH', [10, 23], 'metKEGGM', [-1, 24], ...
                  'metSEEDH', [10, 25], 'metSEEDM', [-1, 26], ...
                  'reacNumH', [1, 27],  'reacNumM', [-1, 28], ...
                  'reacStoH', [1, 29],  'reacStoM', [-1, 30], ...
                  'prodNumH', [1, 31],  'prodNumM', [-1, 32], ...
                  'prodStoH', [1, 33],  'prodStoM', [-1, 34], ...
                  'rxnCompH', [5, 35],  'rxnCompM', [-5, 36], ...
                  'rxnSEEDH', [10, 37], 'rxnSEEDM', [-3, 38] , ...
                  'metBonus', [10, 39], ...
                  'rxnNet', [10, 40]) ;

score = zeros(nCrxns, nTrxns, length(fieldnames(ScoreVal)), 'int8') ;

tic
Cmodel = addComparisonInfo(Cmodel) ;
Tmodel = addComparisonInfo(Tmodel) ;
if verbose
    fprintf('Adding comparison information time = %d.\\n', toc)
end

tic
for i = compCrxns
    matchString = strcat('(:|\\<)', Cmodel.rxns(i),'(\\||\\>)') ;
    match = regexpi(Tmodel.rxnID, matchString) ;
    match = ~cellfun(@isempty, match) ;
    score(i,match,ScoreVal.rxnNameH(2)) = ...
        score(i,match,ScoreVal.rxnNameH(2)) + ScoreVal.rxnNameH(1) ;
    score(i,~match,ScoreVal.rxnNameM(2)) = ...
        score(i,~match,ScoreVal.rxnNameM(2)) + ScoreVal.rxnNameM(1) ;

    Cmodel.rxnNamesFix{i} = [Cmodel.rxns{i} '|' Cmodel.rxnNamesFix{i}] ;
    pipePos = [ 0 strfind(Cmodel.rxnNamesFix{i}, '|') ...
                length(Cmodel.rxnNamesFix{i}) + 1 ] ;
    matchSum = zeros(length(Tmodel.rxns), 1) ;
    for j = 1:length(pipePos) - 1
        nowname = Cmodel.rxnNamesFix{i}(pipePos(j) + 1:pipePos(j +1 ) - 1) ;
        match = regexpi(Tmodel.rxnNamesFix, nowname) ;
        match = ~cellfun('isempty', match(:)) ;
        matchSum = matchSum + match ;
    end
    match = logical(matchSum) ;
    score(i, match, ScoreVal.rxnNameLH(2)) = ...
        score(i, match, ScoreVal.rxnNameLH(2)) + ScoreVal.rxnNameLH(1) ;
    score(i, ~match, ScoreVal.rxnNameLM(2)) = ...
        score(i, ~match, ScoreVal.rxnNameLM(2)) + ScoreVal.rxnNameLM(1) ;
end
if verbose
    fprintf('Name match time = %d.\\n', toc)
end

tic
for i = compCrxns
    if ~isempty(Cmodel.rxnECNumbers{i}) && ...
            ~isempty(find(~cellfun(@isempty, Tmodel.rxnECNumbers), 1))
        pipePos = [0 strfind(Cmodel.rxnECNumbers{i}, '|') ...
                   length(Cmodel.rxnECNumbers{i}) + 1] ;
        matchSum = zeros(length(Tmodel.rxns), 1) ;
        for j = 1:length(pipePos) - 1
            nowEC = Cmodel.rxnECNumbers{i}(pipePos(j) + 1:pipePos(j + 1) - 1);
            match = regexpi(Tmodel.rxnECNumbers, nowEC) ;
            match = ~cellfun('isempty', match) ;
            matchSum = matchSum + match ;
        end
        match = logical(matchSum) ;
        score(i, match, ScoreVal.ecH(2)) = ...
            score(i, match, ScoreVal.ecH(2)) + ScoreVal.ecH(1) ;
        score(i, ~match, ScoreVal.ecM(2)) = ...
            score(i, ~match, ScoreVal.ecM(2)) + ScoreVal.ecM(1) ;
        noEC = cellfun(@isempty, Tmodel.rxnECNumbers) ;
        score(i, noEC, ScoreVal.ecM(2)) = ...
            score(i, noEC, ScoreVal.ecM(2)) - ScoreVal.ecM(1) ;
    end
end
if verbose
    fprintf('EC match time = %d.\\n', toc)
end

tic
for iRxn = compCrxns
    if ~isempty(Cmodel.rxnKEGGID{iRxn}) && ...
            ~isempty(find(~cellfun(@isempty, Tmodel.rxnKEGGID), 1))
        pipePos = [0 strfind(Cmodel.rxnKEGGID{iRxn}, '|') ...
                   length(Cmodel.rxnKEGGID{iRxn}) + 1] ;
        matchSum = zeros(length(Tmodel.rxns), 1) ;
        for jID = 1:length(pipePos) - 1
            nowID = Cmodel.rxnKEGGID{iRxn}(pipePos(jID) + 1:pipePos(jID + 1) - 1);
            match = regexpi(Tmodel.rxnKEGGID, nowID) ;
            match = ~cellfun('isempty', match) ;
            matchSum = matchSum + match ;
        end
        match = logical(matchSum) ;
        score(iRxn, match, ScoreVal.rxnKEGGH(2)) = ...
            score(iRxn, match, ScoreVal.rxnKEGGH(2)) + ScoreVal.rxnKEGGH(1) ;
        score(iRxn, ~match, ScoreVal.rxnKEGGM(2)) = ...
            score(iRxn, ~match, ScoreVal.rxnKEGGM(2)) + ScoreVal.rxnKEGGM(1);
        noKEGGID = cellfun(@isempty, Tmodel.rxnKEGGID) ;
        score(iRxn, noKEGGID, ScoreVal.rxnKEGGM(2)) = ...
            score(iRxn, noKEGGID, ScoreVal.rxnKEGGM(2)) - ...
            ScoreVal.rxnKEGGM(1) ;
    end
end
if verbose
    fprintf('Reaction KEGG ID match time = %d.\\n', toc)
end

tic
for iRxn = compCrxns
    if ~isempty(Cmodel.rxnSEEDID{iRxn}) && ...
            ~isempty(find(~cellfun(@isempty, Tmodel.rxnSEEDID), 1))
        pipePos = [0 strfind(Cmodel.rxnSEEDID{iRxn}, '|') ...
                   length(Cmodel.rxnSEEDID{iRxn}) + 1] ;
        matchSum = zeros(length(Tmodel.rxns), 1) ;
        for jID = 1:length(pipePos) - 1
            nowID = Cmodel.rxnSEEDID{iRxn}(pipePos(jID) + 1:pipePos(jID + 1) - 1) ;
            match = regexpi(Tmodel.rxnSEEDID, nowID) ;
            match = ~cellfun('isempty', match) ;
            matchSum = matchSum + match ;
        end
        match = logical(matchSum) ;
        score(iRxn, match, ScoreVal.rxnSEEDH(2)) = ...
            score(iRxn, match, ScoreVal.rxnSEEDH(2)) + ScoreVal.rxnSEEDH(1) ;
        score(iRxn, ~match, ScoreVal.rxnSEEDM(2)) = ...
            score(iRxn, ~match, ScoreVal.rxnSEEDM(2)) + ScoreVal.rxnSEEDM(1);
        noSEEDID = cellfun(@isempty, Tmodel.rxnSEEDID) ;
        score(iRxn, noSEEDID, ScoreVal.rxnSEEDM(2)) = ...
            score(iRxn, noSEEDID, ScoreVal.rxnSEEDM(2)) - ...
            ScoreVal.rxnSEEDM(1) ;
    end
end
if verbose
    fprintf('Reaction SEED ID match time = %d.\\n', toc)
end

tic
for i = compCrxns
    if ~isempty(Cmodel.subSystems{i})
        match = regexpi(Tmodel.subSystems, Cmodel.subSystems(i)) ;
        match = ~cellfun(@isempty,match);
        score(i, match, ScoreVal.subH(2)) = ...
            score(i, match, ScoreVal.subH(2)) + ScoreVal.subH(1) ;
        score(i, ~match, ScoreVal.subM(2)) = ...
            score(i, ~match, ScoreVal.subM(2)) + ScoreVal.subM(1) ;
    end
end
if verbose
    fprintf('Subsystem match time = %d.\\n', toc)
end

tic
for i = compCrxns
    score(i, Cmodel.metNums(i, 1) == Tmodel.metNums(:, 1), ...
          ScoreVal.metNumH(2)) = ...
        score(i, Cmodel.metNums(i, 1) == Tmodel.metNums(:, 1), ...
              ScoreVal.metNumH(2)) + ScoreVal.metNumH(1) ;
    score(i, Cmodel.metNums(i, 1) ~= Tmodel.metNums(:, 1), ...
          ScoreVal.metNumM(2)) = ...
        score(i, Cmodel.metNums(i, 1) ~= Tmodel.metNums(:, 1), ...
              ScoreVal.metNumM(2)) + ScoreVal.metNumM(1) ;

    score(i, Cmodel.metNums(i, 2) == Tmodel.metNums(:, 2), ...
          ScoreVal.metStoH(2)) = ...
        score(i, Cmodel.metNums(i, 2) == Tmodel.metNums(:, 2), ...
              ScoreVal.metStoH(2)) + ScoreVal.metStoH(1) ;
    score(i, Cmodel.metNums(i, 2) ~= Tmodel.metNums(:, 2), ...
          ScoreVal.metStoM(2)) = ...
        score(i, Cmodel.metNums(i, 2) ~= Tmodel.metNums(:, 2), ...
              ScoreVal.metStoM(2)) + ScoreVal.metStoM(1) ;

    score(i, Cmodel.metNums(i, 3) == Tmodel.metNums(:, 3), ...
          ScoreVal.reacNumH(2)) = ...
        score(i, Cmodel.metNums(i, 3) == Tmodel.metNums(:, 3), ...
              ScoreVal.reacNumH(2)) + ScoreVal.reacNumH(1) ;
    score(i, Cmodel.metNums(i, 3) ~= Tmodel.metNums(:, 3), ...
          ScoreVal.reacNumM(2)) = ...
        score(i, Cmodel.metNums(i, 3) ~= Tmodel.metNums(:, 3), ...
              ScoreVal.reacNumM(2)) + ScoreVal.reacNumM(1) ;

    score(i,Cmodel.metNums(i, 4) == Tmodel.metNums(:, 4), ...
          ScoreVal.reacStoH(2)) = ...
        score(i, Cmodel.metNums(i, 4) == Tmodel.metNums(:, 4), ...
          ScoreVal.reacStoH(2)) + ScoreVal.reacStoH(1) ;
    score(i, Cmodel.metNums(i, 4) ~= Tmodel.metNums(:, 4), ...
          ScoreVal.reacStoM(2)) = ...
        score(i, Cmodel.metNums(i, 4) ~= Tmodel.metNums(:, 4), ...
          ScoreVal.reacStoM(2)) + ScoreVal.reacStoM(1) ;

    score(i, Cmodel.metNums(i, 5) == Tmodel.metNums(:, 5), ...
          ScoreVal.prodNumH(2)) = ...
        score(i, Cmodel.metNums(i, 5) == Tmodel.metNums(:, 5), ...
              ScoreVal.prodNumH(2)) + ScoreVal.prodNumH(1) ;
    score(i, Cmodel.metNums(i, 5) ~= Tmodel.metNums(:, 5), ...
          ScoreVal.prodNumM(2)) = ...
        score(i, Cmodel.metNums(i, 5) ~= Tmodel.metNums(:, 5), ...
          ScoreVal.prodNumM(2)) + ScoreVal.prodNumM(1) ;

    score(i, Cmodel.metNums(i, 6) == Tmodel.metNums(:, 6), ...
          ScoreVal.prodStoH(2)) = ...
        score(i, Cmodel.metNums(i, 6) == Tmodel.metNums(:, 6), ...
              ScoreVal.prodStoH(2)) + ScoreVal.prodStoH(1) ;
    score(i, Cmodel.metNums(i, 6) ~= Tmodel.metNums(:, 6), ...
          ScoreVal.prodStoM(2)) = ...
        score(i, Cmodel.metNums(i, 6) ~= Tmodel.metNums(:, 6), ...
          ScoreVal.prodStoM(2)) + ScoreVal.prodStoM(1) ;
end
if verbose
    fprintf('Metabolte number and stoich match time = %d.\\n', toc)
end

tic
for i = compCrxns
    matchArray = strcmpi(Cmodel.rxnComp{i}, Tmodel.rxnComp) ;
    score(i, matchArray, ScoreVal.rxnCompH(2)) = ...
        score(i, matchArray, ScoreVal.rxnCompH(2)) + ScoreVal.rxnCompH(1) ;
    score(i, ~matchArray, ScoreVal.rxnCompM(2)) = ...
        score(i, ~matchArray, ScoreVal.rxnCompM(2)) + ScoreVal.rxnCompM(1) ;
end
if verbose
    fprintf('Reaction compartment match time = %d.\\n', toc)
end

tic
score(:, :, ScoreVal.rxnNet(2)) = mapMatch(Cmodel, Tmodel, 'noSeed') ;
if verbose
    fprintf('Network topology match time = %d.\\n', toc)
end

tic
metType = {'I' 'N' 'F' 'K' 'S'} ;
metCatH = {'metNameH' 'metNameH' 'metFormH' 'metKEGGH' 'metSEEDH'} ;
metCatM = {'metNameM' 'metNameM' 'metFormM' 'metKEGGM' 'metSEEDM'} ;
h = waitbar(0,'Processing metabolites.') ;
for i = compCrxns
    for iStack = 1:length(metType)
    matchStack.(metType{iStack}) = zeros(nTrxns, 3) ;
    end
    for j = 1:nTrxns
        for iStack = 1:length(metType)
        metMatch = compareMetInfo(Cmodel.rxnMetNames{i, iStack}, ...
                                  Tmodel.rxnMetNames{j, iStack})  ;
        matchStack.(metType{iStack})(j, 1) = sum(metMatch) ;
        matchStack.(metType{iStack})(j, 2) = length(metMatch) ;
        matchStack.(metType{iStack})(j, 3) = Tmodel.metNums(j,1) ;
        end
    end

    for iStack = 1:length(metType)
        score(i,logical((matchStack.(metType{iStack})(:, 1) == ...
                         matchStack.(metType{iStack})(:, 2)) .* ...
                        (matchStack.(metType{iStack})(:, 1) == ...
                         matchStack.(metType{iStack})(:, 3))), ...
              ScoreVal.metBonus(2)) = ...
        score(i,logical((matchStack.(metType{iStack})(:, 1) == ...
                         matchStack.(metType{iStack})(:, 2)) .* ...
                        (matchStack.(metType{iStack})(:, 1) == ...
                         matchStack.(metType{iStack})(:, 3))), ...
        ScoreVal.metBonus(2)) + ScoreVal.metBonus(1);

        score(i, :, ScoreVal.(metCatH{iStack})(2)) = ...
            score(i, :, ScoreVal.(metCatH{iStack})(2)) + ...
            int8(((ScoreVal.(metCatH{iStack})(1) .* ...
            matchStack.(metType{iStack})(:, 1))') ./ Cmodel.metNums(i, 1)) ;
        score(i, :, ScoreVal.(metCatM{iStack})(2)) = ...
            score(i, :, ScoreVal.(metCatM{iStack})(2)) + ...
            int8((ScoreVal.(metCatM{iStack})(1) .* ...
            (matchStack.(metType{iStack})(:, 2) - ...
            matchStack.(metType{iStack})(:, 1))') ./ Cmodel.metNums(i, 1)) ;
    end

    try
        waitbar(i / nCrxns, h, ['modelBorgifier: comparing metabolites of reaction ' num2str(i) ...
                                ' of ' num2str(nCrxns)])
    catch
        disp(i)
    end
end
try close(h) ; end
if verbose
    fprintf('Met name match time = %d.\\n', toc)
end

global CMODEL TMODEL SCORE
CMODEL = Cmodel ;
TMODEL = Tmodel ;
SCORE = score ;
Stats = optimalScores ;


if verbose
    hold on
    figure(1)
    subplot(2, 1, 1)
    hist(Stats.scoreTotal(:), 100) % Converting to column matrix is faster.
    title('Normalized score frequency')
    xlabel('Score')
    ylabel('Frequency')
    subplot(2, 2, 3)
    hist(Stats.bestMatch, 100)
    title('Frequency of scores of best match per reaction')
    xlabel('Score')
    ylabel('Frequency');
    subplot(2, 2, 4)
    imagesc(Stats.scoreTotal)
    colormap('bone')
    title('Matching scores')
    xlabel('Template rxn')
    ylabel('Compared rxn')
    hold off
end

end


function Model = addComparisonInfo(Model)
nRxns = length(Model.rxns) ;

Model.rxnNamesFix = fixNames(Model.rxnNames) ;
Model.rxnComp = cell(nRxns, 1) ;
Model.metNums = zeros(nRxns, 6) ;
Model.rxnMetNames = cell(nRxns, 3) ;

compNames = {''} ;
for iMet = 1:length(Model.mets)
    nowComp = Model.mets{iMet}(end - 2:end) ;
    if ~strcmpi(nowComp, compNames)
        if isempty(compNames{1})
            compNames{1} = nowComp ;
        else
            compNames{length(compNames) + 1, 1} = nowComp ;
        end
    end
end
compNames = sort(compNames) ;

m2 = buildRxnEquations(Model) ;
rxnEquationsWithComp = m2.rxnEquations ;
clear m2 ;

for iRxn = 1:nRxns
    comp = '' ;
    for iC = 1:length(compNames)
        if strfind(rxnEquationsWithComp{iRxn}, compNames{iC})
           comp = [comp compNames{iC}] ;
        end
    end
    Model.rxnComp{iRxn} = comp ;

    Model.metNums(iRxn, 1) = length(find(Model.S(:, iRxn))) ;
    Model.metNums(iRxn, 2) = sum(full(abs(Model.S(:, iRxn)))) ;
    Model.metNums(iRxn, 3) = length(find(Model.S(:, iRxn) < 0)) ;
    Model.metNums(iRxn, 4) = abs(sum(full(Model.S(:, iRxn) < 0))) ;
    Model.metNums(iRxn, 5) = length(find(Model.S(:, iRxn) > 0)) ;
    Model.metNums(iRxn, 6) = sum(full(Model.S(:, iRxn) > 0)) ;

    nowMetPos = find(Model.S(:, iRxn)) ;
    metIDs = cell(1) ;
    metNames = cell(1) ;
    metForms = cell(1) ;
    metKEGGs = cell(1) ;
    metSEEDs = cell(1) ;
    for j = 1:length(nowMetPos)
        nowMetID = Model.metID{nowMetPos(j)} ;
        nowMetName = Model.metNames{nowMetPos(j)} ;
        nowMetForm = Model.metFormulas{nowMetPos(j)} ;
        nowMetKEGG = Model.metKEGGID{nowMetPos(j)} ;
        nowMetSEED = Model.metSEEDID{nowMetPos(j)} ;
        metIDs{j, 1} = nowMetID(1:end - 3) ; % Remove compartment.
        metNames{j, 1} = nowMetName ;
        metForms{j, 1} = nowMetForm ;
        metKEGGs{j, 1} = nowMetKEGG ;
        metSEEDs{j, 1} = nowMetSEED ;
    end
    if ~iscellstr(metIDs)
        metIDs = {'NONE'};
    end
    if ~iscellstr(metNames)
        metNames = {'NONE'};
    end
    if ~iscellstr(metForms)
        metForms = {'NONE'};
    end
    if ~iscellstr(metKEGGs)
        metKEGGs = {'NONE'};
    end
    if ~iscellstr(metSEEDs)
        metSEEDs = {'NONE'};
    end
    Model.rxnMetNames{iRxn, 1} = metIDs ;
    Model.rxnMetNames{iRxn, 2} = metNames ;
    Model.rxnMetNames{iRxn, 3} = metForms ;
    Model.rxnMetNames{iRxn, 4} = metKEGGs ;
    Model.rxnMetNames{iRxn, 5} = metSEEDs ;
end
end


function metMatch = compareMetInfo(cMets, tMets)
cMetsNo = length(cMets) ;
metMatch = zeros(cMetsNo, 1) ;

for iMet = 1:cMetsNo
    if find(~cellfun(@isempty, regexpi(tMets, ...
            ['(^|:|\\|)' cMets{iMet} '($|\\|)'], 'ONCE')))
        if ~strcmpi(cMets{iMet}, 'NONE') && ~strcmpi(cMets{iMet}, '')
            metMatch(iMet) = 1 ;
        end
    end
end
end"
1851,compareCerrWithPyrad.m,76.066,100,60.0,75,100.0,45.33,70-80,"function [cerrFeatS,pyFeatS] = compareCerrWithPyrad(cerrParamFile,...
    pyradParamFile,pyradPath,strName,imageType,featureClass,planC)


indexS = planC{end};


paramS = getRadiomicsParamTemplate(cerrParamFile);

if isempty(strName)
    strName = paramS.structuresC;
    strName = strName{1};
end

strC = {planC{indexS.structures}.structureName};
structNum = getMatchingIndex(strName,strC,'exact');
scanNum = getStructureAssociatedScan(structNum,planC);
structFieldName = ['struct_',repSpaceHyp(strName)];

cerrCalcS.(structFieldName) = calcGlobalRadiomicsFeatures...
    (scanNum, structNum, paramS, planC);

if strcmpi(featureClass,'shape')
    cerrFeatS = cerrCalcS.(structFieldName).shapeS;
else
    cerrFieldsC = fieldnames(cerrCalcS.(structFieldName));
    if iscell(imageType)
        imgClassIdx = true(length(cerrFieldsC),1);
        for n = 1:length(imageType)
            imgClassIdx = imgClassIdx & contains(lower(cerrFieldsC),lower(imageType{n}));
        end
    else
        imgClassIdx = contains(lower(cerrFieldsC),lower(imageType));
    end
    imgClassS = cerrCalcS.(structFieldName).(cerrFieldsC{imgClassIdx});
    if strcmpi(featureClass,'all')
        cerrFeatS = imgClassS;
    else
        featClassC = fieldnames(imgClassS);
        featClassIdx = contains(lower(featClassC),lower(featureClass));
        cerrFeatS = imgClassS.(featClassC{featClassIdx});
    end
end


pyCalcS = calcRadiomicsFeatUsingPyradiomics(planC,strName,...
                 pyradParamFile,pyradPath);

if strcmpi(featureClass,'shape')
    retFieldsC = {'shape'};
else
    if strcmpi(featureClass,'all')
        featureClass = {'shape','firstorder','glcm','glrlm',...
                        'glszm','gldm'};
    end
    if iscell(imageType)
        retFieldsC = [lower(imageType),{lower(featureClass)}];
    else
        retFieldsC = {lower(imageType),lower(featureClass)};
    end
end
pyFieldsC = fieldnames(pyCalcS);
returnIdxV = true(length(pyFieldsC),1);
for n = 1:length(retFieldsC)
    returnIdxV = returnIdxV & contains(lower(pyFieldsC),retFieldsC{n});
end

outFieldsC = pyFieldsC(returnIdxV);
pyFeatS = struct();
for n = 1:length(outFieldsC)
    pyFeatS.(outFieldsC{n}) = pyCalcS.(outFieldsC{n});
end


end"
